ID,Finca,Derechos,Plano_cat,Año,Area_re,Provincia,Canton,Distrito,Latitud,Longitud
32,2-00284398,1,A-0144476-1993,1993,577.25,Alajuela,Orotina,Coyolar,9.936919444,-84.41305556
33,2-00096824,0,A-0144476-1994,1994,38127.15,Alajuela,Alajuela,Guacima,9.936352778,-84.41363056
34,2-00181977,1,A-0029061-2023,2023,182618,Alajuela,Atenas,Escobal,9.936352778,-84.41363056
35,2-00035838,5,A-0029061-2024,2024,412933.58,Alajuela,Atenas,Escobal,9.935697222,-84.42620278
36,2-00266346,1,A-1814370-2015,2015,356393,Alajuela,Alajuela,Pozos,9.92825,-84.44651667
37,2-00090926,1,A-1814370-2016,2016,29032.78,Alajuela,Atenas,Escobal,9.928352778,-84.44686111
38,1-00555111,1,SJ-1653278-2013,2013,5454,San Jose,Escazu,Pozos ,9.928469444,-84.44731944
39,1-00542465,1,SJ-0879711-2003,2003,12277.74,San Jose,Escazu,Pozos ,9.928583333,-84.44770278
40,1-00545083,1,SJ-0905880-2004,2004,6622.52,San Jose,Escazu,Pozos ,9.928658333,-84.44906389
41,1-00277472,1,SJ-1793130-2015,2015,2801,San Jose,Escazu,Pozos ,9.928763889,-84.44869444
42,1-00005250-M,1,SJ-1628548-2012,2012,26344,San Jose,Escazu,Pozos ,9.928669444,-4.454455556
43,2-00217937,1,A-0658467-1986,1986,238.07,San Jose,Santa Ana,Brasil,9.928669444,-84.45583333
45,2-00151057,1,A-2318897-2021,2021,47677,Alajuela,Atenas,Escobal,9.924938889,-84.46593889
46,2-00345576,2,A-0887336-2003,2003,1233.76,Alajuela,Atenas,Escobal,9.924938889,-84.46611389
47,2-00267696,2,A-0957434-1991,1991,10051.74,Alajuela,Atenas,Escobal,9.924152778,-84.46738611
48,2-00035364,1,A-0004954-1975,1975,857085.14,Alajuela,Atenas,Jesus,9.920861111,-84.46827778
49,2-00178702,9,A-1101488-2006,2006,241723.06,Alajuela,Atenas,Escobal,9.920861111,-84.46827778
50,2-00449912,2,A-1485463-2011,2011,178923,Alajuela,Orotina,Hacienda Vieja,9.921861111,-84.471375
51,2-00155453,1,A-1485463-2012,2012,1687806.4,Alajuela,Orotina,Orotina ,9.921313889,-84.47298611
52,2-00020309,3,A-0487705-1982,1982,17930.93,Alajuela,Orotina,Orotina ,9.920127778,-84.47528333
53,2-00356664,1,A-0049202-1992,1992,13402.97,Alajuela,Orotina,Orotina ,9.920113889,-84.47604167
54,2-00514539,1,A-1701652-2013,2013,370271,Alajuela,Atenas,Escobal,9.919513889,-84.47706944
55,2-00167748,1,A-1759754-2014,2014,133818,Alajuela,Atenas,Escobal,9.919513889,-84.47706944
56,1-00548155,1,SJ-0930007-2004,2004,4792.52,San Jose,Escazu,Pozos ,9.917091667,-84.71176944
57,2-00533751,1,A-2201342-2020,2020,17937,Alajuela,Atenas,Escobal,9.932422222,-84.09827778
58,6-00174771,1,P-1141624-2007,2007,381086.83,Puntarenas,Esparza,CALDERA,9.933363889,-84.10904444
59,6-00149011,1,P-1019012-2005,2005,68651.55,Puntarenas,Esparza,CALDERA,9.933411111,-84.10950278
60,6-00096725,1,P-0153082-1993,1993,21179.67,Puntarenas,Esparza,CALDERA,9.933530556,-84.110025
61,1-00092800,1,SJ-1397858-2010,2010,45605,San Jose,Santa Ana,Pozos,9.935138889,-84.11270278
62,1-00722591,1,SJ-2267293-2021,2021,28657,San Jose,Santa Ana,Brasil,9.936825,-84.11613889
63,1-00662255,6,SJ-1801239-2015,2015,69637,San Jose,Santa Ana,Brasil,9.965497222,-84.27988611
64,1-00074453,1,SJ-1801239-2016,2016,37939.99,San Jose,Santa Ana,Brasil,9.965888889,-84.29947222
65,1-00074451-A,1,SJ-1692620-2013,2013,24776,San Jose,Santa Ana,Brasil,9.965888889,-84.29947222
66,1-00311497,1,SJ-1692620-2014,2014,14223.81,San Jose,Santa Ana,Brasil,9.965261111,-84.30366111
67,1-00073903,6,SJ-1785899-2014,2014,33672,San Jose,Santa Ana,Brasil,9.965261111,-84.30366111
68,1-00004212-M,1,SJ-1785899-2015,2015,6484.87,San Jose,Santa Ana,Brasil,9.964133333,-84.34406944
69,1-00505269,1,SJ-0405215-1997,1997,1270.39,San Jose,Santa Ana,Brasil,9.963169444,-84.35066111
70,2-00486387,3,A-1467512-2010,2010,14287,Alajuela,Alajuela,Guacima,9.963169444,-84.35066111
71,2-00499779,1,A-1615501-2012,2012,658330,Alajuela,Alajuela,Pozos,9.963169444,-84.35066111
72,2-00103600,4,A-1615501-2013,2013,150070.9,Alajuela,Atenas,Escobal,9.942858333,-84.37770556
73,2-00329205,1,A-0455826-1997,1997,8083.33,Alajuela,Atenas,JESUS,9.941216667,-84.38555278
74,2-00333705,1,A-0455844-1997,1997,7392.32,Alajuela,Atenas,JESUS,9.941086111,-84.38765306
